id,hist-today,img_url,img_credits
equi-libre-–-stahlkonstruktion-xiix_1979,today,https://www.publics-arts.ch/files/large/3a34164451229bf93059515414d731341ea29da7.jpg,"Christopher Kilchenmann, 2023"
skulptur-i_1965,today,https://www.publics-arts.ch/files/large/d2fdd6d645a074f37b9a46a410510d397dd0b412.jpg,"Christopher Kilchenmann, 2023"
skulptur-i_1965,hist,https://www.publics-arts.ch/files/large/97bd899709a394a82121c0e32363278c479e9df1.jpg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
mecanisme-de-la-conception_1964,today,https://www.publics-arts.ch/files/large/3e16e3291ef7ba9339e8f0856c7be23ffdf6d6e0.jpg,"Christopher Kilchenmann, 2023"
mecanisme-de-la-conception_1964,hist,https://www.publics-arts.ch/files/large/e7e93f8fb0b7aacbec1923274c30a9d020396e14.jpg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
mecanisme-de-la-conception_1964,today,https://www.publics-arts.ch/files/large/f77865e8b5d35783bb63f3b121fcaf4d5277b938.jpg,"Christopher Kilchenmann, 2023"
mecanisme-de-la-conception_1964,today,https://www.publics-arts.ch/files/large/bfdff48605f2fe138e7d9819b54cc229ecd6ae00.jpg,"Christopher Kilchenmann, 2023"
rex_1965,today,https://www.publics-arts.ch/files/large/b3a90ee701f898a648cc08e207ad2c10de6211b9.jpg,Bundesamt für Kultur BAK (CC BY NC-ND 3.0)
rex_1965,hist,https://www.publics-arts.ch/files/large/5f19ecb2cc8272bc92778f8c2683b0d7032c5f34.jpg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
das-loch-versuch-einer-unterirdischen-plastischen-bewegung_1966,today,https://www.publics-arts.ch/files/large/927a4e742e7630b3da93d4aaa4ff15b86bf1b2a4.jpg,Daniel Hauser / © Bieler Tagblatt
das-loch-versuch-einer-unterirdischen-plastischen-bewegung_1966,hist,https://www.publics-arts.ch/files/large/68244bd350901ce4120a2074059b8fb666715761.jpg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
das-loch-versuch-einer-unterirdischen-plastischen-bewegung_1966,hist,https://www.publics-arts.ch/files/large/2667ddcade62468a111d336e95386108d9981322.jpg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
einhorn_1952,today,https://www.publics-arts.ch/files/large/a8a29f761f06d607f833c3030d4eafa7e6f0908a.jpg,"Christopher Kilchenmann, 2023"
einhorn_1952,hist,https://www.publics-arts.ch/files/large/52b636f51e9ee098c0c1bc314393f2b030c7e596.jpg,"Comet Photo AG, 1954, Com_M03-0221-0015, Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv / Public Domain Mark"
einhorn_1952,today,https://www.publics-arts.ch/files/large/a775e8e09afefe8a0c44dae05f0fbc7dc5afbbc1.jpg,"Christopher Kilchenmann, 2023"
einhorn_1952,hist,https://www.publics-arts.ch/files/large/bb7833016dd806403c74cb2ea0a3ba0a240703c1.jpg,"Comet Photo AG, 1954, Com_M03-0221-0015, Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv / Public Domain Mark"
fontaine_1954,today,https://www.publics-arts.ch/files/large/c604714f020d8a1ebb0c0d762c88406924b09364.jpg,"Christopher Kilchenmann, 2023"
fontaine_1954,hist,https://www.publics-arts.ch/files/large/46bb3210f8f9a0042f4a9b42d95033ae70cb6e8e.jpg,"Comet Photo AG, 1954, Com_M03-0221-0001, Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv / Public Domain Mark"
