artist,title,id,year,expo,hist-today,img_url,img_credits,place_today,lat_today,lon_today,place_hist,lat_hist,lon_hist
Joseph Wyss,Otok 2,otok-2_1970,1970,"ESS-SPA 5, 1970",today,https://www.publics-arts.ch/files/original/ea0421d17a106a313ec497356c8ec144b8521b5c.jpg,"Adrian Michael, 2015 (via Wikimedia Commons, CC BY-SA 3.0)","Hôpital Zollikerberg / Spital Zollikerberg, Diakonissenweg, 8125 Zollikerberg",47.347941,8.598494,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.134766,7.233294
,,otok-2_1970,1970,,hist,https://www.publics-arts.ch/files/original/7633c837a4d5321a49bc0743b7976cdc70d497ff.tif,"Heinz Baumann, 1970 © Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv",,,,,47.134766,7.233294
Gianfredo Camesi,Dimension unique,dimension-unique_1975,1975,"ESS-SPA 6, 1975",today,https://www.publics-arts.ch/files/original/1b93bbe39c3b5ef457ea2cddc2992a3001ccfe8e.jpeg,"Christopher Kilchenmann, 2023","Terrasse de l'église / Kirchterrasse, rue Basse / Untergasse 17, 2502 Bienne / Biel",47.141138,7.24646,"Terrasse de l'eglise / Kirchterrasse, rue Basse / Untergasse 17, 2502 Bienne / Biel",47.141138,7.24646
,,dimension-unique_1975,1975,,hist,https://www.publics-arts.ch/files/original/d4586d2832de6272fd6d01b61200372e24a0c1a9.jpg,"Archives / Archiv Märki-Travaglini, 1975",,,,,47.141138,7.24646
,,dimension-unique_1975,1975,,today,https://www.publics-arts.ch/files/original/8200ae63ba5d85fd3da53a3e8d73a8425896fdde.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,dimension-unique_1975,1975,,hist,https://www.publics-arts.ch/files/original/531d68036353b142a798f455f69e7a83f3b2223a.jpg,"Archives / Archiv Märki-Travaglini, 1975",,,,,,
,,dimension-unique_1975,1975,,today,https://www.publics-arts.ch/files/original/c40b10cf5c6d7706c83525822e928c76bb3c0982.jpeg,"Christopher Kilchenmann, 2023",,,,,,
Manuel Torres,Enlacé,enlace_1974,1974,"ESS-SPA 6, 1975",today,https://www.publics-arts.ch/files/original/4319b495f2687df7be4003dadd2eaa84caca4394.jpeg,"Yvonne Schweizer, 2023","Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.136121,7.240825,"Faubourg du Lac, près du funiculaire Macolin / Seevorstadt, nahe der Magglingenbahn, 2502 Bienne / Biel",47.136293,7.23629
,,enlace_1974,1974,,hist,https://www.publics-arts.ch/files/original/3d92f3a6a9cd2050eca92a0e936acfa492dd04f2.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,47.136293,7.23629
,,enlace_1974,1974,,today,https://www.publics-arts.ch/files/original/3b3465ac4999c42de1dadbfbc60e83b85cc25243.jpeg,"Yvonne Schweizer, 2023",,,,,,
